Number,State,Value,Param bagging_fraction,Param bagging_freq,Param colsample_bytree,Param feature_fraction,Param learning_rate,Param max_bin,Param max_depth,Param min_child_samples,Param min_child_weight,Param min_split_gain,Param num_leaves,Param reg_alpha,Param reg_lambda,Param scale_pos_weight,Param subsample,UserAttribute best_iteration
86,COMPLETE,0.6440911956768038,0.7341524752414471,7,0.6577198547083802,0.5093549914290197,0.016891652624945255,451,20,83,0.00995194629519074,0.12925699237882476,18,8.104302914017907,0.06192234307649916,4.844870007988432,0.7162821481596215,604
87,COMPLETE,0.6443499842206288,0.7420643751584229,6,0.7110872162970447,0.4639015060479769,0.01739044290625199,218,18,93,0.003459450996085857,0.09831343044708835,19,8.421730220545916,0.2129524435876413,6.168144473299196,0.9827526529741791,535
88,COMPLETE,0.6439249035683668,0.7176871345609616,7,0.8027145953384908,0.47649679780944376,0.01646365907330564,249,17,108,0.006208788278330743,0.09637911839421533,15,8.70220708162401,0.006897978184149197,5.556746492699886,0.6835227053893497,570
89,COMPLETE,0.6447782048862809,0.7864889034381735,7,0.5179433449993539,0.4713203858984167,0.01768299770557844,437,22,86,0.00828165931396917,0.10526898128618625,18,7.9531410682573975,0.001339839854471947,3.0570026802441195,0.7940219343655023,573
90,COMPLETE,0.6438593598076401,0.7583395195290822,6,0.6289760011562648,0.4571610892411166,0.018995629928399056,368,19,89,0.2875178205576454,0.10242850416125823,16,7.463858433643913,0.04057239038016779,6.779471095996238,0.8649284765049678,669
91,COMPLETE,0.644841544564799,0.7299176415975167,7,0.6439188312688273,0.4608939760091242,0.017305718835467495,233,24,113,0.6677085728867337,0.10357697854463849,19,7.7180412902962425,0.014887578408330592,2.2984971608910745,0.8037414596988082,588
92,COMPLETE,0.6448843044741025,0.7776638404888134,7,0.5697854621870879,0.4668959683599968,0.017114353197106674,190,23,111,0.004423068734343577,0.09986272870834599,19,7.798269798828602,0.022852680622229782,1.862429815057638,0.6508664725985976,615
93,COMPLETE,0.6442777281900958,0.721642097266408,7,0.6847580067108336,0.45379483733836734,0.01682696001426432,262,16,113,0.00697646566469768,0.09727157341733696,19,8.027946023478473,0.018104672494937604,2.7459780554798474,0.5443281586394688,574
94,COMPLETE,0.6451972377084301,0.7358896910575812,7,0.7513021003112997,0.4595104828494407,0.017466813757230297,178,17,82,0.0013867079311584338,0.10226225636153972,18,7.866797613589116,0.005787220812129618,2.4597522858752376,0.6330377732097625,597
95,COMPLETE,0.6444338715180538,0.7651873952838644,7,0.7642815926559398,0.504246725312429,0.015681013374275205,181,17,82,0.0010867037704675115,0.09831222397452315,18,6.9666631064265445,0.008634464135878572,2.589609973597578,0.5823142581738417,476
96,COMPLETE,0.644382863268685,0.7469114669799617,7,0.7536444574716454,0.45895647284220936,0.01751969944148386,158,18,80,0.001599609469065114,0.10224147988553707,17,7.893321790504417,0.0055762373699421025,2.4429740160031277,0.9699905136916414,591
97,COMPLETE,0.644304466529372,0.7525018378534736,6,0.7429152771521111,0.4627352304849018,0.017839541505267703,397,17,85,0.002695766414781666,0.10101782824781434,17,8.169049212516736,0.0038785420088992867,3.0676201181292315,0.6269799907644092,535
98,COMPLETE,0.6441817773827528,0.732343582603626,7,0.7786813663924648,0.46061297326891415,0.018049068608885083,135,21,84,0.0012932342950898383,0.09944266466660415,18,7.086808429836039,0.008764301629098081,3.3835586669527022,0.8444961931553284,588
99,COMPLETE,0.644344543674107,0.7367334700073148,7,0.8867615480228144,0.4653220677570123,0.019355788667485406,205,17,79,0.002106501113382015,0.09662086243366692,16,7.748697708991683,0.0026988333235756197,5.791900899386514,0.7755096923678929,741
100,COMPLETE,0.644408029815138,0.7418101391816696,8,0.5993623743805174,0.45527984614272105,0.013393526952239014,164,17,87,0.005153850538156703,0.10501279363769836,18,7.947326123756974,8.674012272739203,4.42071533550506,0.9365313802565076,897
101,COMPLETE,0.6452799604502633,0.7278374776328588,7,0.5488507687369442,0.4525114123453047,0.017440926413309122,413,16,82,0.011851475901221604,0.10633231721708222,19,7.654080981740899,0.01200700980484116,2.3537770004126344,0.6278079165090387,792
102,COMPLETE,0.6449188553381614,0.7261263409267953,7,0.5408428115912011,0.4525696239013426,0.016776418792109643,415,16,80,5.380733321060414,0.10822326252496106,19,7.511339852255907,0.011906658743331779,1.9057243263902763,0.6346551026892158,792
103,COMPLETE,0.6443554712064845,0.7105250941036041,7,0.5066930824791416,0.45666158318511724,0.01546303409049986,382,16,83,0.01175655131316749,0.10678964874580348,19,7.6660941154857865,0.0017268600667705752,1.468874512846048,0.6534871344022508,784
104,COMPLETE,0.6442240478929275,0.7349014228267259,7,0.551896499239768,0.493844482892922,0.016462181258598243,419,16,82,0.014343220595704767,0.10388623346344211,17,8.393348719756888,0.004920758321725519,4.70663433657458,0.8231263679863675,676
105,COMPLETE,0.6441066492580608,0.7277349939315708,7,0.7031425765358862,0.45927300732381626,0.01742293729815094,400,16,91,0.08010722962868992,0.09819962231164983,19,7.626275465047422,1.4708504971024416,5.347828829030745,0.9928181174126129,728
106,COMPLETE,0.6444054935130824,0.7799613161121891,6,0.8334862140504826,0.5140163320907938,0.017808403916026866,111,17,81,0.034091488810456406,0.10046346986336675,14,7.023799429122664,0.0012058950288449113,7.6376276359361945,0.6034461732322192,665
107,COMPLETE,0.643898708212066,0.7170394914172538,7,0.7263608640631021,0.4693357754239954,0.01815723723310124,428,18,88,0.00374575739286964,0.10648385286674959,16,6.929536607301266,0.007654042923450202,8.324838569867792,0.7592420469493907,740
108,COMPLETE,0.6444291239892765,0.7203476878383461,6,0.5006619568775282,0.5071043756961269,0.019169307265620116,180,17,77,0.04412451188871535,0.10203055805360124,18,7.840757031043568,0.1399613664611642,2.3528461003139682,0.6170711466396964,630
109,COMPLETE,0.6445947516580199,0.7711984376243234,7,0.5756053462444775,0.4799513800469704,0.018801087133830566,337,16,83,0.0208973934831168,0.09612393740111409,19,7.400648880828002,0.0021898674274646963,6.486821454271453,0.6908285026375761,584
110,COMPLETE,0.6444213400425453,0.7238823655866629,7,0.875108197238001,0.4841161198800951,0.018650784989917873,443,17,84,0.008459715640204866,0.11155832309841153,15,8.050158702327925,0.27818255186789137,2.8987951526800675,0.9614637045006675,576
111,COMPLETE,0.644911224998456,0.7304335212363547,7,0.5226715568532514,0.45214646467904934,0.016724154468016287,78,16,78,3.2816179039842477,0.09935756515680062,19,7.248546998954798,0.012484112749238425,1.812444209768405,0.659228576604787,836
