Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
86,COMPLETE,0.6439691030970063,0.7300694366220926,7,0.5601362126809992,7.14037751909539,0.015410187320891087,9,94,0.08240625956771325,805,19
87,COMPLETE,0.6429230071003026,0.8988382390526283,7,0.44885394558385894,7.6954101844754765,0.014879647205903346,11,91,0.10130198113575792,834,13
88,COMPLETE,0.6432293780995932,0.8520907031261834,7,0.49422731613899373,8.0310487925953,0.013103400939089061,19,100,0.27184594424905983,720,15
89,COMPLETE,0.6440993297046639,0.717479458018392,7,0.5322034492532048,6.473372428525247,0.014433744375475111,8,97,0.016828570507349504,773,16
90,COMPLETE,0.6428948434307162,0.7051036555473695,5,0.484599094918277,7.362529230757369,0.015601687293424312,10,87,0.15702140947807186,793,20
91,COMPLETE,0.6446139918310783,0.7377558934642046,7,0.5210068028163779,6.965261565524934,0.01750563608621599,9,83,0.12839353179417642,790,17
92,COMPLETE,0.6445217275923572,0.7442022187200192,7,0.5031528924380497,6.807592423019354,0.01607872545592923,10,94,0.0435846060285424,866,19
93,COMPLETE,0.6448889126848796,0.7264052118854482,7,0.5236085649212463,6.113372990657787,0.017927877691780544,10,89,0.20069670960120434,754,18
94,COMPLETE,0.6442368079928465,0.7329924132239073,7,0.5433203919776443,5.587743877041553,0.017102339763838455,11,97,0.07135291817418515,819,22
95,COMPLETE,0.6450026533291758,0.7514267058052537,7,0.5132955717807207,7.193922314601139,0.01833524894934894,9,91,0.11511787881194943,936,16
96,COMPLETE,0.6441364347320603,0.7124949133371891,7,0.5122696062795943,7.471295986405249,0.019360860099305273,9,95,0.16832278702707282,733,15
97,COMPLETE,0.644306277663375,0.7511072669330735,7,0.5339383113062077,7.19464963640235,0.018992677663577276,9,91,0.1056336036668749,836,16
98,COMPLETE,0.643454819629772,0.7584312831676132,7,0.4907059657262964,6.527773986772448,0.008325235865561805,8,85,0.12321077284259227,880,17
99,COMPLETE,0.6442646644483813,0.721791116724878,7,0.4751969112062817,7.633889090471783,0.018242961579238368,9,98,0.000617905323292478,894,19
100,COMPLETE,0.6446475496078534,0.7378512808360986,7,0.4975575255405939,6.262935345729693,0.01633736577118245,9,94,0.040268712164943654,780,14
101,COMPLETE,0.6442476712246087,0.7314768839968809,7,0.5118299016516082,7.0233038716652025,0.01756756944661211,10,88,0.15171658941929378,939,18
102,COMPLETE,0.6448786102973749,0.7452879528834796,7,0.5275553754391589,6.747208319136916,0.01689211917303293,11,91,0.08634954876153575,926,18
103,COMPLETE,0.6450893412756311,0.7359569902581861,7,0.5162499104509818,5.965620379632792,0.01575664153759274,16,97,0.12163702908090297,958,17
104,COMPLETE,0.6446718731017922,0.7422957437287677,7,0.4862914276017613,5.980597513652076,0.015994910416111452,20,97,0.533024795089751,974,16
105,COMPLETE,0.6446018783095705,0.7492138642268956,7,0.5043226852022855,5.188184397154518,0.015234998947640724,17,100,0.21847070592758064,987,17
